                     Name,Clock.Today,Potato.Leaf.AppearedCohortNo,LeafNodeNoerror,LeafBranchNo
     PotatoCultivarKaraka, 2004-02-02,                      29.500,          2.200,      55.130
     PotatoCultivarKaraka, 2004-02-08,                      31.000,          2.900,      58.480
     PotatoCultivarKaraka, 2004-02-16,                      31.300,          3.100,      59.830
     PotatoCultivarKaraka, 2004-02-24,                      31.300,          3.700,      60.330
     PotatoCultivarKaraka, 2004-03-01,                      31.300,          3.600,      60.640
    PotatoCultivarNooksac, 2003-11-24,                       5.700,          1.000,       5.670
    PotatoCultivarNooksac, 2003-12-01,                       8.700,          1.500,       9.000
    PotatoCultivarNooksac, 2003-12-09,                       9.000,          0.900,       9.890
    PotatoCultivarNooksac, 2003-12-17,                      13.700,          0.800,      15.560
    PotatoCultivarNooksac, 2003-12-24,                      16.000,          1.100,      19.480
    PotatoCultivarNooksac, 2003-12-29,                      18.300,          1.400,      24.210
    PotatoCultivarNooksac, 2004-01-05,                      20.800,          3.000,      31.080
    PotatoCultivarNooksac, 2004-01-12,                      24.000,          1.400,      38.180
    PotatoCultivarNooksac, 2004-01-20,                      29.700,          4.600,      50.360
    PotatoCultivarNooksac, 2004-01-29,                      31.800,          4.600,      57.570
    PotatoCultivarNooksac, 2004-02-02,                      34.200,          4.100,      63.850
    PotatoCultivarNooksac, 2004-02-08,                      35.700,          3.700,      67.280
    PotatoCultivarNooksac, 2004-02-16,                      36.300,          4.100,      69.380
    PotatoCultivarNooksac, 2004-02-24,                      36.200,          4.200,      69.630
    PotatoCultivarNooksac, 2004-03-01,                      36.500,          4.000,      70.640
  PotatoCultivarRedRascal, 2003-11-24,                       7.500,          0.500,       7.500
  PotatoCultivarRedRascal, 2003-12-01,                       9.500,          0.800,       9.870
  PotatoCultivarRedRascal, 2003-12-09,                      11.700,          0.500,      12.820
  PotatoCultivarRedRascal, 2003-12-17,                      15.800,          1.000,      18.030
  PotatoCultivarRedRascal, 2003-12-24,                      18.000,          1.500,      21.910
  PotatoCultivarRedRascal, 2003-12-29,                      19.800,          1.000,      26.190
  PotatoCultivarRedRascal, 2004-01-05,                      22.800,          1.500,      34.070
  PotatoCultivarRedRascal, 2004-01-12,                      25.500,          1.400,      40.560
  PotatoCultivarRedRascal, 2004-01-20,                      28.200,          1.300,      47.820
  PotatoCultivarRedRascal, 2004-01-29,                      30.800,          3.600,      55.760
  PotatoCultivarRedRascal, 2004-02-02,                      31.700,          3.300,      59.180
  PotatoCultivarRedRascal, 2004-02-08,                      31.800,          3.300,      60.050
